from,to
https://www.wikipedia.org,//en.wikipedia.org/
https://www.wikipedia.org,//ru.wikipedia.org/
https://www.wikipedia.org,//ja.wikipedia.org/
https://www.wikipedia.org,//de.wikipedia.org/
https://www.wikipedia.org,//fr.wikipedia.org/
https://www.wikipedia.org,//es.wikipedia.org/
https://www.wikipedia.org,//it.wikipedia.org/
https://www.wikipedia.org,//zh.wikipedia.org/
https://www.wikipedia.org,//fa.wikipedia.org/
https://www.wikipedia.org,//pt.wikipedia.org/
https://www.wikipedia.org,//ar.wikipedia.org/
https://www.wikipedia.org,//de.wikipedia.org/
https://www.wikipedia.org,//en.wikipedia.org/
https://www.wikipedia.org,//es.wikipedia.org/
https://www.wikipedia.org,//fa.wikipedia.org/
https://www.wikipedia.org,//fr.wikipedia.org/
https://www.wikipedia.org,//it.wikipedia.org/
https://www.wikipedia.org,//arz.wikipedia.org/
https://www.wikipedia.org,//nl.wikipedia.org/
https://www.wikipedia.org,//ja.wikipedia.org/
https://www.wikipedia.org,//pl.wikipedia.org/
https://www.wikipedia.org,//pt.wikipedia.org/
https://www.wikipedia.org,//ceb.wikipedia.org/
https://www.wikipedia.org,//sv.wikipedia.org/
https://www.wikipedia.org,//uk.wikipedia.org/
https://www.wikipedia.org,//vi.wikipedia.org/
https://www.wikipedia.org,//war.wikipedia.org/
https://www.wikipedia.org,//zh.wikipedia.org/
https://www.wikipedia.org,//ru.wikipedia.org/
https://www.wikipedia.org,//af.wikipedia.org/
https://www.wikipedia.org,//ast.wikipedia.org/
https://www.wikipedia.org,//az.wikipedia.org/
https://www.wikipedia.org,//bg.wikipedia.org/
https://www.wikipedia.org,//zh-min-nan.wikipedia.org/
https://www.wikipedia.org,//bn.wikipedia.org/
https://www.wikipedia.org,//be.wikipedia.org/
https://www.wikipedia.org,//ca.wikipedia.org/
https://www.wikipedia.org,//cs.wikipedia.org/
https://www.wikipedia.org,//cy.wikipedia.org/
https://www.wikipedia.org,//da.wikipedia.org/
https://www.wikipedia.org,//et.wikipedia.org/
https://www.wikipedia.org,//el.wikipedia.org/
https://www.wikipedia.org,//eo.wikipedia.org/
https://www.wikipedia.org,//eu.wikipedia.org/
https://www.wikipedia.org,//gl.wikipedia.org/
https://www.wikipedia.org,//ko.wikipedia.org/
https://www.wikipedia.org,//hy.wikipedia.org/
https://www.wikipedia.org,//hi.wikipedia.org/
https://www.wikipedia.org,//hr.wikipedia.org/
https://www.wikipedia.org,//id.wikipedia.org/
https://www.wikipedia.org,//he.wikipedia.org/
https://www.wikipedia.org,//ka.wikipedia.org/
https://www.wikipedia.org,//lld.wikipedia.org/
https://www.wikipedia.org,//la.wikipedia.org/
https://www.wikipedia.org,//lv.wikipedia.org/
https://www.wikipedia.org,//lt.wikipedia.org/
https://www.wikipedia.org,//hu.wikipedia.org/
https://www.wikipedia.org,//mk.wikipedia.org/
https://www.wikipedia.org,//ms.wikipedia.org/
https://www.wikipedia.org,//min.wikipedia.org/
https://www.wikipedia.org,//my.wikipedia.org/
https://www.wikipedia.org,//no.wikipedia.org/
https://www.wikipedia.org,//nn.wikipedia.org/
https://www.wikipedia.org,//ce.wikipedia.org/
https://www.wikipedia.org,//uz.wikipedia.org/
https://www.wikipedia.org,//kk.wikipedia.org/
https://www.wikipedia.org,//ro.wikipedia.org/
https://www.wikipedia.org,//sq.wikipedia.org/
https://www.wikipedia.org,//simple.wikipedia.org/
https://www.wikipedia.org,//sk.wikipedia.org/
https://www.wikipedia.org,//sl.wikipedia.org/
https://www.wikipedia.org,//sr.wikipedia.org/
https://www.wikipedia.org,//sh.wikipedia.org/
https://www.wikipedia.org,//fi.wikipedia.org/
https://www.wikipedia.org,//ta.wikipedia.org/
https://www.wikipedia.org,//tt.wikipedia.org/
https://www.wikipedia.org,//te.wikipedia.org/
https://www.wikipedia.org,//th.wikipedia.org/
https://www.wikipedia.org,//tg.wikipedia.org/
https://www.wikipedia.org,//azb.wikipedia.org/
https://www.wikipedia.org,//tr.wikipedia.org/
https://www.wikipedia.org,//ur.wikipedia.org/
https://www.wikipedia.org,//zh-yue.wikipedia.org/
https://www.wikipedia.org,//ace.wikipedia.org/
https://www.wikipedia.org,//als.wikipedia.org/
https://www.wikipedia.org,//am.wikipedia.org/
https://www.wikipedia.org,//an.wikipedia.org/
https://www.wikipedia.org,//hyw.wikipedia.org/
https://www.wikipedia.org,//gor.wikipedia.org/
https://www.wikipedia.org,//ban.wikipedia.org/
https://www.wikipedia.org,//bjn.wikipedia.org/
https://www.wikipedia.org,//map-bms.wikipedia.org/
https://www.wikipedia.org,//ba.wikipedia.org/
https://www.wikipedia.org,//be-tarask.wikipedia.org/
https://www.wikipedia.org,//bcl.wikipedia.org/
https://www.wikipedia.org,//bpy.wikipedia.org/
https://www.wikipedia.org,//bar.wikipedia.org/
https://www.wikipedia.org,//bs.wikipedia.org/
https://www.wikipedia.org,//br.wikipedia.org/
https://www.wikipedia.org,//cv.wikipedia.org/
https://www.wikipedia.org,//dag.wikipedia.org/
https://www.wikipedia.org,//ary.wikipedia.org/
https://www.wikipedia.org,//nv.wikipedia.org/
https://www.wikipedia.org,//eml.wikipedia.org/
https://www.wikipedia.org,//hif.wikipedia.org/
https://www.wikipedia.org,//fo.wikipedia.org/
https://www.wikipedia.org,//fy.wikipedia.org/
https://www.wikipedia.org,//ga.wikipedia.org/
https://www.wikipedia.org,//gd.wikipedia.org/
https://www.wikipedia.org,//glk.wikipedia.org/
https://www.wikipedia.org,//gu.wikipedia.org/
https://www.wikipedia.org,//hak.wikipedia.org/
https://www.wikipedia.org,//ha.wikipedia.org/
https://www.wikipedia.org,//hsb.wikipedia.org/
https://www.wikipedia.org,//io.wikipedia.org/
https://www.wikipedia.org,//ig.wikipedia.org/
https://www.wikipedia.org,//ilo.wikipedia.org/
https://www.wikipedia.org,//ia.wikipedia.org/
https://www.wikipedia.org,//ie.wikipedia.org/
https://www.wikipedia.org,//os.wikipedia.org/
https://www.wikipedia.org,//is.wikipedia.org/
https://www.wikipedia.org,//jv.wikipedia.org/
https://www.wikipedia.org,//kn.wikipedia.org/
https://www.wikipedia.org,//pam.wikipedia.org/
https://www.wikipedia.org,//km.wikipedia.org/
https://www.wikipedia.org,//avk.wikipedia.org/
https://www.wikipedia.org,//ht.wikipedia.org/
https://www.wikipedia.org,//ku.wikipedia.org/
https://www.wikipedia.org,//ckb.wikipedia.org/
https://www.wikipedia.org,//ky.wikipedia.org/
https://www.wikipedia.org,//mrj.wikipedia.org/
https://www.wikipedia.org,//lb.wikipedia.org/
https://www.wikipedia.org,//lij.wikipedia.org/
https://www.wikipedia.org,//li.wikipedia.org/
https://www.wikipedia.org,//lmo.wikipedia.org/
https://www.wikipedia.org,//mai.wikipedia.org/
https://www.wikipedia.org,//mg.wikipedia.org/
https://www.wikipedia.org,//ml.wikipedia.org/
https://www.wikipedia.org,//mr.wikipedia.org/
https://www.wikipedia.org,//xmf.wikipedia.org/
https://www.wikipedia.org,//mzn.wikipedia.org/
